"entrez","symbol","ensembl","gene_type","baseMean","l2fc_raw","l2fc_shrunk","lfcSE","pvalue","padj"
"1303","COL12A1","ENSG00000111799","protein-coding",9902.70132289823,6.38124120178457,6.35481689047518,0.297609828960903,5.46597917393442e-102,1.49024456198148e-97
"8354","H3C11","ENSG00000275379","protein-coding",2937.44487522113,-12.2627959364617,-12.1933101777323,0.647856872447341,6.67447983877646e-80,9.09865091622007e-76
"26585","GREM1","ENSG00000166923","protein-coding",1971.32131619722,7.91237888136298,7.85192302935526,0.494307877774009,1.14211379697146e-57,1.03795301868766e-53
"633","BGN","ENSG00000182492","protein-coding",4545.88808701009,7.08176499754191,7.0281988602666,0.449654000263073,6.93743635049465e-56,4.72855661649715e-52
"4907","NT5E","ENSG00000135318","protein-coding",2365.72670340363,5.62917000076681,5.58248573995515,0.370459330131778,3.81027708022504e-52,2.07766788630511e-48
"5328","PLAU","ENSG00000122861","protein-coding",1487.93581068482,6.42974604153084,6.37506642096816,0.427669685802151,4.37160789547668e-51,1.9864586277046e-47
"1545","CYP1B1","ENSG00000138061","protein-coding",2820.92665113243,4.22969855086191,4.18977424819747,0.301037950002931,7.66183431714801e-45,2.98417501175319e-41
"105373869","LINC01614","ENSG00000230838","ncRNA",1092.57936055323,8.36299618120769,8.28161281112357,0.596091978285374,1.02573556275076e-44,3.4957067978546e-41
"2","A2M","ENSG00000175899","protein-coding",27512.4954601885,5.83694714439717,5.78220590808432,0.420038279584386,6.67697065494176e-44,2.02267697707036e-40
"338","APOB","ENSG00000084674","protein-coding",2276.21842152847,7.08244253229199,7.01046401004046,0.515919956096102,6.92094647075432e-43,1.88692684578646e-39
"11211","FZD10","ENSG00000111432","protein-coding",848.939400872713,4.70574219958996,4.65745502505794,0.34341656104764,9.77863541364898e-43,2.42367923561569e-39
"1293","COL6A3","ENSG00000163359","protein-coding",29213.1301012746,9.05056402057643,8.95295472145598,0.668821590166191,1.01086915087339e-41,2.29669471078435e-38
"3371","TNC","ENSG00000041982","protein-coding",22997.3815850138,8.01939431688867,7.95160558675311,0.603916407936636,3.06538463208918e-40,6.42881896994456e-37
"105373791","LOC105373791",NA,"ncRNA",547.567526698596,5.80876427623844,5.74377790359804,0.442405852790315,2.21819151957645e-39,4.31976954212374e-36
"27286","SRPX2","ENSG00000102359","protein-coding",1633.10472476992,5.55481345184022,5.49236639240194,0.429519505064953,2.9459744381569e-38,5.35460313879397e-35
"6387","CXCL12","ENSG00000107562","protein-coding",957.623990274557,4.7172503820178,4.66248807023044,0.36659979062098,6.85195867605294e-38,1.16757375839942e-34
"7021","TFAP2B","ENSG00000008196","protein-coding",1771.5447951717,5.58373979699207,5.5189728645393,0.435020378687994,1.03621163549491e-37,1.66183964883136e-34
"3624","INHBA","ENSG00000122641","protein-coding",1336.38471396355,6.07085138785573,6.00184372111967,0.473404555166554,1.20620008319731e-37,1.82699105934952e-34
"81035","COLEC12","ENSG00000158270","protein-coding",1504.11091968304,4.44989442066737,4.39622970247336,0.350847078390313,7.31960481818273e-37,1.05032476717334e-33
"56944","OLFML3","ENSG00000116774","protein-coding",1017.14088874097,3.73754777444247,3.69340131171036,0.295672634604534,1.25718341902667e-36,1.71379243681716e-33
"64167","ERAP2","ENSG00000164308","protein-coding",1100.97181288657,5.46976837727116,5.4038193749396,0.433229695963891,1.52647782707277e-36,1.98180435606247e-33
"9547","CXCL14","ENSG00000145824","protein-coding",1114.50369430441,6.43292533767863,6.35159246623394,0.512042586268913,3.36179994786078e-36,4.16618698993074e-33
"4488","MSX2","ENSG00000120149","protein-coding",527.733438223302,5.87703592852438,5.8049006800192,0.468340971167306,4.04464742030226e-36,4.79448988117916e-33
"10085","EDIL3","ENSG00000164176","protein-coding",3478.54246005348,4.4714692246906,4.41733018778007,0.365325866250636,1.90799244767239e-34,2.16747942055584e-31
"1909","EDNRA","ENSG00000151617","protein-coding",1410.01833853822,5.70865600254989,5.63491842629939,0.472643987959325,1.3781676560563e-33,1.50297451898876e-30
"342184","FMN1","ENSG00000248905","protein-coding",822.636230689983,4.65532532310149,4.59301551319486,0.386612131868386,2.15446548348289e-33,2.25920565160298e-30
"723961","INS-IGF2","ENSG00000129965","protein-coding",1382.69380867534,5.37313655023172,5.30006733146612,0.44717648050374,2.93885514826304e-33,2.96759062082383e-30
"3024","H1-1","ENSG00000124610","protein-coding",828.247383115792,7.45387109550888,7.3542961951403,0.62264611103209,5.02472481189792e-33,4.89264633112803e-30
"3481","IGF2","ENSG00000167244","protein-coding",1758.72837059299,5.59802306267938,5.51999487505647,0.471052146067004,1.43197019173858e-32,1.34624949336416e-29
"7849","PAX8","ENSG00000125618","protein-coding",814.482290217838,5.56629600474102,5.49127944584714,0.469163331282539,1.81406504974023e-32,1.64862231720392e-29
"7045","TGFBI","ENSG00000120708","protein-coding",14253.4583067545,7.66255953856896,7.56090096718405,0.651663957561373,6.38948138009835e-32,5.61944581764521e-29
"3575","IL7R","ENSG00000168685","protein-coding",565.860348878796,5.41846565338465,5.34289560373002,0.461513279392968,7.88783414707386e-32,6.72043469330693e-29
"2633","GBP1","ENSG00000117228","protein-coding",833.764339143605,7.65655944976173,7.55150543190808,0.655048684932629,1.45881327193715e-31,1.2052450013968e-28
"7078","TIMP3","ENSG00000100234","protein-coding",5389.03180493881,4.21566096540828,4.1642231457189,0.360906538362943,1.59868593180616e-31,1.28195803661068e-28
"643529","LINC00865","ENSG00000232229","ncRNA",131.106370403,-6.33419188481966,-6.23974332636324,0.54287168543526,1.85879025717854e-31,1.44794450204902e-28
"100131827","ZNF717","ENSG00000227124","protein-coding",148.027169986445,-7.59836213677325,-7.48105207234015,0.661844996318568,1.65175399556565e-30,1.25092835930839e-27
"1634","DCN","ENSG00000011465","protein-coding",1081.48449115334,8.6018445770724,8.47812557252432,0.750924392110057,2.21943931511126e-30,1.63542685100523e-27
"6282","S100A11","ENSG00000163191","protein-coding",3072.36685182185,3.88166756739747,3.82621378612786,0.339023974403705,2.36404576486527e-30,1.69614062456018e-27
"72","ACTG2","ENSG00000163017","protein-coding",4102.40017721388,6.46641140961092,6.36922808416899,0.570159117043276,8.18104214280452e-30,5.71917776875442e-27
"25878","MXRA5","ENSG00000101825","protein-coding",15475.3535489288,3.96261228098243,3.9289161281132,0.349595338834754,8.81785718196279e-30,6.01025145522584e-27
"6672","SP100","ENSG00000067066","protein-coding",397.90248010133,5.77890688804423,5.69204395329069,0.516161600876314,4.2692009693618e-29,2.83891451777269e-26
"9096","TBX18","ENSG00000112837","protein-coding",406.008064664569,5.96927217209505,5.87648743744369,0.533573858107446,4.7033214151403e-29,3.05312750148536e-26
"3490","IGFBP7","ENSG00000163453","protein-coding",3972.49462238678,5.17453206018154,5.09371363220066,0.46425030490209,7.4901487859754e-29,4.74910270932171e-26
"100132116","ACTA2-AS1","ENSG00000180139","ncRNA",2175.59803064906,5.63251192338275,5.54548384477099,0.50577291687538,8.33822707789937e-29,5.16666870572383e-26
"6495","SIX1","ENSG00000126778","protein-coding",422.568795346159,7.55366265735487,7.4339607454156,0.684515617983166,2.58913406319077e-28,1.56867002441852e-25
"27123","DKK2","ENSG00000155011","protein-coding",704.158314990822,5.12292719811784,5.04208194732607,0.465147532985966,3.28775347899284e-28,1.94863719241871e-25
"1404","HAPLN1","ENSG00000145681","protein-coding",977.927474455806,5.79024678536282,5.69637631090344,0.526956208012724,4.36014491869671e-28,2.52925512900739e-25
"2297","FOXD1","ENSG00000251493","protein-coding",433.089515279104,6.61738224763647,6.51300608434137,0.602567663195474,4.66615873048057e-28,2.65037815891297e-25
"4060","LUM","ENSG00000139329","protein-coding",4346.68951871012,7.48738636615425,7.36367630623203,0.689131961332501,1.69310350033804e-27,9.42056608841148e-25
"122786","FRMD6","ENSG00000139926","protein-coding",2786.58257267691,3.25148149960229,3.20002531699038,0.299922955238235,2.19918175351174e-27,1.19916982655488e-24
"5077","PAX3","ENSG00000135903","protein-coding",1170.04663692217,4.16481257635134,4.10001679236036,0.38538186456241,3.19013234336649e-27,1.70540721979498e-24
"857","CAV1","ENSG00000105974","protein-coding",2305.29998909674,5.70916977766603,5.61418613119986,0.528936190503941,3.68709111918841e-27,1.93317023602986e-24
"2162","F13A1","ENSG00000124491","protein-coding",729.373558103027,5.14191711592701,5.05489146168464,0.47948158732893,7.86088782236886e-27,4.04375935073707e-24
"5159","PDGFRB","ENSG00000113721","protein-coding",5049.77057570679,4.47175528286548,4.39990990778395,0.418051004232587,1.05497271739745e-26,5.32644003094891e-24
"301","ANXA1","ENSG00000135046","protein-coding",2814.5714578325,3.33136058653545,3.27659452378782,0.312115539105332,1.35448623622641e-26,6.71431140808668e-24
"203447","NRK","ENSG00000123572","protein-coding",1246.81244908502,4.77004329830231,4.68793149160277,0.449276992104708,2.48005607961298e-26,1.20743301704586e-23
"10395","DLC1","ENSG00000164741","protein-coding",1776.19310456444,5.19563395413856,5.10589037248871,0.49019348491723,3.00702860414537e-26,1.43830926076175e-23
"3912","LAMB1","ENSG00000091136","protein-coding",13513.2341711613,3.94647182037392,3.88717694078956,0.374334328373492,5.4935119744087e-26,2.58232949086688e-23
"1893","ECM1","ENSG00000143369","protein-coding",1201.87150050246,4.55758219522437,4.47728378177742,0.432780146368753,6.2209442621745e-26,2.87470888752416e-23
