"entrez","symbol","ensembl","gene_type","baseMean","l2fc_raw","l2fc_shrunk","lfcSE","pvalue","padj","direction"
"723961","INS-IGF2","ENSG00000129965","protein-coding",1382.69380867534,5.37313655023172,5.30006733146612,0.44717648050374,2.93885514826304e-33,2.96759062082383e-30,"up"
"6672","SP100","ENSG00000067066","protein-coding",397.90248010133,5.77890688804423,5.69204395329069,0.516161600876314,4.2692009693618e-29,2.83891451777269e-26,"up"
"255130","IGFBP7-AS1","ENSG00000245067","ncRNA",823.293373308764,6.17529544002142,6.04726482241725,0.62982477522098,1.07377226190765e-22,3.52714782513857e-20,"up"
"54885","TBC1D8B","ENSG00000133138","protein-coding",338.065672226775,3.91121544501563,3.80933535471114,0.456169753493824,9.99210162619592e-18,2.06382317224701e-15,"up"
"101927131","LOC101927131","ENSG00000262999","ncRNA",73.0708241398705,-3.50796108229323,-3.39052846813127,0.457887937887292,1.84235028989765e-14,2.87027647450112e-12,"down"
"100616414","MIR4761","ENSG00000284031","ncRNA",31.4049356594747,-5.01933060614276,-4.84150038668373,0.665854024521939,4.76558656038651e-14,7.02318659364204e-12,"down"
"8942","KYNU","ENSG00000115919","protein-coding",86.882230917654,4.74640088081121,4.56844255205212,0.64879498888616,2.56009666866131e-13,3.4899237787191e-11,"up"
"4055","LTBR","ENSG00000111321","protein-coding",91.8925829578153,5.19503213590313,5.00129410518739,0.730702547901827,1.16345944689874e-12,1.40356452921448e-10,"up"
"102723920","LINC02515","ENSG00000250620","ncRNA",167.606095049618,10.2024795300169,10.6259970913899,1.47944673924246,5.34325825098938e-12,5.80392800617428e-10,"up"
"2152","F3","ENSG00000117525","protein-coding",552.621325492501,2.0728358528912,1.99621392206318,0.301532152985285,6.2275611333194e-12,6.6583618328949e-10,"up"
"105379695","IER3-AS1","ENSG00000272273","ncRNA",416.150209475354,2.08848815130553,2.00218244976952,0.319560235427237,6.3394422488409e-11,5.68547873264468e-09,"up"
"144571","A2M-AS1","ENSG00000245105","ncRNA",493.31029268139,2.45227262334439,2.34290338273255,0.381712034261243,1.32386484703403e-10,1.14948570667312e-08,"up"
"9823","ARMCX2","ENSG00000184867","protein-coding",5077.9162875724,1.68496293725817,1.6169280828955,0.26551843034849,2.21077288069462e-10,1.90140415833622e-08,"up"
"105379057","EDIL3-DT","ENSG00000250320","ncRNA",238.526192558488,2.31549287652537,2.21006213330264,0.366333780081175,2.60349108508557e-10,2.20439692371966e-08,"up"
"3939","LDHA","ENSG00000134333","protein-coding",4559.83478514747,1.7873449031696,1.70954076367222,0.288739949547345,6.01052661389823e-10,4.78142055639312e-08,"up"
"94121","SYTL4","ENSG00000102362","protein-coding",548.383914435001,2.38536833450912,2.27080667459296,0.387945590853242,7.81113367942318e-10,6.11961921367223e-08,"up"
"266722","HS6ST3","ENSG00000185352","protein-coding",220.903144931351,-2.14142114251446,-2.03373494672661,0.357634140124306,2.12773558916866e-09,1.53467151066387e-07,"down"
"51206","GP6","ENSG00000088053","protein-coding",52.6444481196316,-3.71906116580239,-3.51087353212525,0.621705905601874,2.20378486469946e-09,1.58532956599383e-07,"down"
"100287314","LINC00941","ENSG00000285517","ncRNA",64.8215403556673,3.05327863911409,2.88818918083673,0.51337869043694,2.72401991998894e-09,1.9290306259371e-07,"up"
"26280","IL1RAPL2","ENSG00000189108","protein-coding",54.454611035917,4.10956053846724,3.87185443126954,0.699137319856872,4.15140397152603e-09,2.84381602712778e-07,"up"
"23305","ACSL6","ENSG00000164398","protein-coding",117.000653096387,-2.60918729443129,-2.46438298040917,0.446204226001357,4.98961515056798e-09,3.37762796909112e-07,"down"
"101927879","LOC101927879","ENSG00000283458","ncRNA",17.3368686343405,-4.92395036078205,-4.61736417057311,0.859945387372756,1.02894522315474e-08,6.61631192549313e-07,"down"
"102723446","LOC102723446","ENSG00000237471","ncRNA",54.6036540811565,8.58343212725859,8.71869281357264,1.50198838120055,1.09889499960706e-08,7.04947606336164e-07,"up"
"285505","GASK1B-AS1","ENSG00000248429","ncRNA",130.618592562118,2.90356760080014,2.72374330541242,0.51524182227015,1.7470394374489e-08,1.0866646791031e-06,"up"
"2917","GRM7","ENSG00000196277","protein-coding",173.420551232837,-1.87539813680517,-1.77297766550963,0.333300879396122,1.83644827641014e-08,1.13278112687887e-06,"down"
