"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001501","skeletal system development","75/833","298/15777",0.251677852348993,4.7667724808044,15.4986400077567,5.83097409699266e-31,2.50848505652624e-27,2.41170248050616e-27,"HOXB3/ZBTB16/HHIP/FBLN5/CNMD/LUM/RARG/BMP5/DLX6/TMEM119/ADAMTS12/PTGER4/TNFRSF11B/TGFB1/TGM2/TBX1/SIX2/NEUROG1/OSR2/MMP13/DLX5/SNAI2/BMP4/MGP/ALX4/MEF2C/ANXA2/RUNX3/CCN4/TGFBI/TIMP1/TGFB2/COL13A1/ACVRL1/EDNRA/MSX2/STC1/COL1A2/OSR1/LRRC17/GDF10/TBX3/FBN1/PITX2/RUNX1/GDF6/MMP14/COL3A1/GATA3/WNT1/NPR3/PDGFRA/CDH11/FOXC1/SIX1/HAPLN1/SMAD7/DDR2/TWIST1/LOXL2/PCSK5/WNT11/PTHLH/NFATC2/CD44/SFRP4/TGFBR2/WNT7A/RUNX2/GREM1/MATN3/CMKLR1/HES5/COL1A1/GDF5",75
"GO:0030198","extracellular matrix organization","63/833","251/15777",0.250996015936255,4.75385851551776,14.1537815935786,4.5725962981069e-26,7.90199025319178e-23,7.59711501767869e-23,"ADAMTSL1/RGCC/POSTN/FBLN5/LUM/MMP2/ADAMTS12/SMOC2/CTSK/PPARG/NDNF/NID2/TGFB1/SPINK5/HAS2/TGM2/CYP1B1/LAMA2/MMP13/CTSS/FAP/PRICKLE1/PLAUR/ENG/LAMC1/COL14A1/TGFBI/ADAMTS14/TGFB2/COL13A1/LAMB1/MMP1/HPSE2/COL12A1/COL1A2/COL15A1/FBN1/CREB3L1/RUNX1/MMP14/COL3A1/ADAMTS16/ADAMTS2/PLAU/ZNF469/STAT3/FURIN/MMP9/MMP7/COL4A1/DDR2/LOXL2/TIMP3/LOX/COLEC12/COL16A1/GREM1/PLOD1/MATN3/FERMT1/COL1A1/COL8A1/PLOD2",63
"GO:0007507","heart development","76/833","411/15777",0.184914841849148,3.50228266489077,12.1356874777244,2.93687216799334e-22,2.52688481334147e-19,2.42939233639609e-19,"CASP8/TPM1/MMP2/INHBA/PLXND1/PAX8/RGS4/BMP5/SHH/MYOCD/FN1/TGFB1/SIK1/HAS2/MSX1/TBX1/SEMA3C/ECE1/ALPK2/ALPK3/SNAI2/BMP4/PRICKLE1/FOXL1/SGCD/EGFR/DLC1/ENG/MEF2C/DSP/MICAL2/HEY2/SCUBE1/POU4F2/MSC/RYR2/TGFB2/ACVRL1/IRX4/S1PR1/STRA6/EDNRA/NFATC1/CRIPTO/MSX2/VCAM1/NPY5R/OSR1/TBX3/FBN1/PDLIM3/PITX2/RUNX1/POU4F1/COL3A1/GATA3/TBX2/PDGFRA/CDH11/FOXC1/EDN1/SMAD7/NRP1/PDGFRB/ANKRD1/DLL4/TWIST1/PCSK5/WNT11/GLI1/FOXC2/TGFBR2/ACTC1/GREM1/APLNR/TBX18",76
"GO:0048598","embryonic morphogenesis","65/833","317/15777",0.205047318611987,3.88359129140615,12.2446425520621,1.16770023276593e-21,8.37241066893169e-19,8.0493856343878e-19,"HOXB3/ZBTB16/MMP2/INHBA/RARG/ITGA4/EOMES/PAX8/BMP5/SHH/FN1/TGFB1/IGF2/FOXF2/MSX1/TBX1/SIX2/NEUROG1/OSR2/ECE1/BMP4/PRICKLE1/KLF4/GDNF/DLC1/ENG/MEF2C/MICAL2/SPARC/RYR2/TGFB2/LAMB1/STRA6/EDNRA/TCF21/LAMB3/COL12A1/FZD5/MSX2/OSR1/TBX3/FBN1/FLT1/MMP14/NEUROD1/GATA3/TBX2/PDGFRA/FOXC1/SIX1/ITGA5/MMP9/DLL4/TWIST1/WNT8B/TGFBR2/WNT7A/ALDH1A3/GREM1/SP9/APLNR/HES5/COL8A1/GRHL3/TBX18",65
"GO:0048729","tissue morphogenesis","66/833","353/15777",0.186968838526912,3.54118531265197,11.4002060524728,1.03104319461356e-19,6.33649689032504e-17,6.09202164802954e-17,"KIF26B/TPM1/MMP2/FOXD1/EOMES/PAX8/BMP5/SHH/ADAMTS12/ACTG2/TGFB1/KRT17/TBX1/SIX2/SNAI2/BMP4/PRICKLE1/KLF4/GDNF/DLC1/ENG/MEF2C/DSP/NKX2-1/MICAL2/HEY2/WNT10A/RYR2/TGFB2/ACVRL1/S1PR1/EDNRA/TCF21/ACTA2/STC1/OSR1/TBX3/POU4F1/COL3A1/GATA3/TBX2/FOXC1/SIX1/SMAD7/ITGA5/NRP1/ANKRD1/FGF1/COL4A1/DLL4/TNC/WNT11/PDGFA/HGF/CD44/TGFBR2/ACTC1/SEMA3E/WNT7A/GREM1/APLNR/FERMT1/HES5/MET/GRHL3/TBX18",66
"GO:0060537","muscle tissue development","54/833","270/15777",0.2,3.78799519807923,10.9093162102974,1.14194691595095e-17,4.46605057492819e-15,4.29374104565554e-15,"TPM1/CHRNA1/RGS4/BMP5/SHH/MYOCD/TGFB1/IGF2/SIK1/MSX1/TBX1/CAV1/CAV2/SEMA3C/ALPK2/ALPK3/BMP4/PRICKLE1/SGCD/ENG/MEF2C/DSP/HEY2/MSC/RYR2/TGFB2/S1PR1/STRA6/EDNRA/TCF21/MSX2/OSR1/TBX3/S100B/MYOM1/PAX7/RUNX1/POU4F1/COL3A1/RCAN1/TBX2/PDGFRA/SIX1/EDN1/SMAD7/PDGFRB/ANKRD1/DLL4/TWIST1/GLI1/TFAP2B/ACTC1/GREM1/TBX18",54
"GO:0030855","epithelial cell differentiation","69/833","435/15777",0.158620689655172,3.00427205364905,10.0080122969675,1.35103204548159e-16,4.47087681512445e-14,4.29838107945704e-14,"KRT80/PAX8/BMP5/ICAM1/PPARG/PRKCH/TGFB1/ARX/SPINK5/KRT17/MSX1/TBX1/CAV1/SIX2/PCK1/F2RL1/NPY/BMP4/S1PR3/PAX6/GDNF/MEF2C/DSP/CDH3/HEY2/SCUBE1/DAB2/TGFB2/ANXA1/ACVRL1/S1PR1/EDNRA/TCF21/ACTA2/STC1/OSR1/FBN1/KRT7/PITX2/ZNF703/NEUROD1/GATA3/WNT1/FOXC1/VDR/SIX1/EDN1/ADAM9/NRP1/MMP9/POU2F3/MAFB/COL4A1/FOXB1/SERPINE1/TCHH/WFDC2/FLG/WNT11/GLI1/TAGLN2/TAGLN/SFRP4/WNT7A/DACT2/GREM1/FSTL1/LGALS3/MET",69
"GO:0006935","chemotaxis","61/833","356/15777",0.171348314606742,3.24533296464653,10.1166564690783,2.10263772112273e-16,5.65346717266874e-14,5.43534463891383e-14,"PLD1/CXCL14/MMP2/KLRC4-KLRK1/SMOC2/TGFB1/RAC2/CXCL1/SEMA3C/F2RL1/BMP4/SLAMF8/ECSCR/PLAUR/GDNF/IL16/ENG/ADGRA2/POU4F2/TGFB2/ANXA1/CXCL8/S1PR1/CXCL6/CDH13/VCAM1/PGF/CD4/FLT1/CXCL12/PLAU/IL6R/S100A4/PDGFRA/CCL2/EDN1/NRP1/PDGFRB/FGF1/ITGA1/SERPINE1/CCR1/CSF1/PDGFA/HGF/PLP2/EDN3/TNFAIP6/C3AR1/BST1/GPNMB/TMSB4X/SEMA3E/UNC5C/GREM1/NTF3/CMKLR1/FGF18/FOSL1/LGALS3/MET",61
"GO:0001503","ossification","57/833","324/15777",0.175925925925926,3.33203281312525,10.013554820898,6.27725434887493e-16,1.50026378938111e-13,1.44238048891329e-13,"ZBTB16/ISG15/BMP5/TMEM119/ADAMTS12/ITGA11/KREMEN1/PPARG/SPP1/IGF2/SIX2/OSR2/MMP13/DLX5/SNAI2/BMP4/MGP/PRICKLE1/SRGN/IFITM1/EGFR/PENK/MEF2C/RUNX3/ECM1/CCN4/COL13A1/ENPP1/S1PR1/MSX2/STC1/OSR1/LRRC17/GDF10/CREB3L1/RUNX1/MMP14/LRP4/IL6R/CDH11/FOXC1/VDR/SMAD7/DDR2/TWIST1/CCR1/TNC/GLI1/PTHLH/HGF/TNFAIP6/RUNX2/GREM1/SGMS2/COL1A1/GDF5/OSTF1",57
"GO:0007389","pattern specification process","48/833","241/15777",0.199170124481328,3.77227737568056,10.2391313862154,9.1625315915687e-16,1.97086054534643e-13,1.89482064227476e-13,"HOXB3/HOXB5/FOXD1/PAX8/SHH/TBX1/SIX2/NEUROG1/OSR2/BHLHE41/SEMA3C/HOXB6/BMP4/PRICKLE1/ENG/MEF2C/DSP/MICAL2/BICC1/HEY2/ACVRL1/IRX4/BHLHE40/CRIPTO/FZD5/STC1/OSR1/TBX3/PITX2/WNT1/TBX2/FOXC1/SIX1/NRP1/DLL4/MFNG/FOXB1/PCSK5/WNT11/WNT8B/CDX1/FOXC2/TGFBR2/WNT7A/GREM1/APLNR/HES5/TBX18",48
"GO:1901342","regulation of vasculature development","54/833","299/15777",0.180602006688963,3.42059767050633,9.97673195232905,1.18054715145955e-15,2.308506293445e-13,2.21943931445028e-13,"RGCC/FBLN5/CNMD/PRKCA/PLXND1/EMILIN2/SMOC2/PPARG/TGFB1/SPINK5/TGM2/CYP1B1/ADM/RHOJ/HMOX1/ECSCR/KLF4/ADGRA2/ECM1/SPARC/RRAS/TGFB2/JCAD/SHC1/CXCL8/DCN/ETS1/ADAM12/AQP1/CREB3L1/FLT1/RUNX1/CXCL12/FOXC1/STAT3/ITGA5/NRP1/FGF1/TWIST1/SERPINE1/TNFRSF12A/THBS2/ZC3H12A/C3AR1/FOXC2/GPNMB/SEMA3E/GREM1/PRKCB/APLNR/PLK2/KLF2/FGF18/ANXA3",54
"GO:0050673","epithelial cell proliferation","51/833","289/15777",0.176470588235294,3.34234870418756,9.48834178318618,1.96634216534791e-14,3.38368159813069e-12,3.25313211742047e-12,"RGCC/CNMD/PRKCA/ITGA4/BMP5/PPARG/TGFB1/HAS2/TBX1/CAV1/B2M/CAV2/OSR2/HMOX1/SNAI2/BMP4/FAP/EGFR/ENG/MEF2C/RUNX3/LAMC1/CDH3/ECM1/SPARC/DAB2/TGFB2/JCAD/ACVRL1/LAMB1/CDKN2B/CDH13/OSR1/ZNF703/FLT1/CXCL12/MMP14/GATA3/TBX2/CCL2/VDR/SIX1/STAT3/NRP1/DLL4/LOXL2/KLF9/WNT7A/APLNR/FERMT1/GDF5",51
