"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001501","skeletal system development","76/984","298/15777",0.25503355704698,4.08908986740874,13.8846550375751,5.16869773953144e-27,2.35899364832215e-23,2.35899364832215e-23,"CNMD/RARG/BMP5/DLX6/TMEM119/PTGER4/MGP/LUM/GDF5/RUNX3/TBX1/SIX2/OSR2/TGFB2/CCN4/SNAI2/SMAD7/GDF10/DLX5/ALX4/FBLN5/MEF2C/TGFBI/TIMP1/MIR21/ACVRL1/EDNRA/ADAMTS12/MSX2/TNFRSF11B/LRRC17/STC1/COL1A2/TGFBR2/PTHLH/SULF1/TBX3/NFATC2/GDF6/MMP14/CDH11/RUNX1/GATA3/GJA1/NPR3/PDGFRA/FOXC1/SIX1/HAPLN1/COL3A1/TGM2/ANXA2/TWIST1/MMP13/MATN3/CD44/PCSK5/BMP4/OSR1/PITX2/SFRP4/TGFB1/DDR2/HHIP/FBN1/GDF3/HOXB4/COL19A1/LOXL2/GREM1/CMKLR1/COL1A1/RUNX2/COL13A1/WNT11/HOXB3",76
"GO:0030198","extracellular matrix organization","68/984","251/15777",0.270916334661355,4.34374696336605,13.772359297128,6.28356865546258e-26,1.19166523061293e-22,1.19166523061293e-22,"ADAMTSL1/POSTN/MMP2/HPSE2/PLOD1/COL12A1/MMP9/LUM/SPINK5/FURIN/COL15A1/MMP1/LAMC1/LAMA2/TGFB2/CTSS/PLAUR/ENG/FBLN5/PPARG/TGFBI/ADAMTS14/LAMB1/MIR21/ADAMTS12/COL1A2/SULF1/COL16A1/ADAMTS2/MMP14/CREB3L1/RUNX1/PLAU/ZNF469/PXDNL/COL3A1/ADAMTS16/NID2/TGM2/MMP13/CYP1B1/STAT3/MATN3/FAP/HAS2/COLEC12/ITGB1/MIR145/TIMP3/CTSK/FERMT1/TGFB1/DDR2/FBN1/PLOD2/COL19A1/LOXL2/GREM1/RGCC/PRICKLE1/COL1A1/COL4A1/MMP7/COL13A1/LOX/SPINT1/COL8A1/SMOC2",68
"GO:1901342","regulation of vasculature development","69/984","299/15777",0.230769230769231,3.7000469043152,12.156746231786,6.34471497461279e-22,5.79145582882656e-19,5.79145582882656e-19,"CNMD/PRKCA/GATA4/EMILIN2/TLR3/CXCL8/NRP1/SPINK5/AQP1/SEMA3E/JCAD/FGF1/STAT1/TGFB2/HMOX1/KLF4/FBLN5/ECSCR/TNMD/F3/ADGRA2/SPARC/RRAS/PPARG/SP100/MIR21/CD40/RHOJ/ETS1/SULF1/ADAM12/FLT1/CREB3L1/RUNX1/CXCL12/ADM/ECM1/FOXC1/SERPINF1/ITGA5/TGM2/TWIST1/PLXND1/CYP1B1/STAT3/SERPINE1/TBXA2R/THBS2/ITGB1/MIR145/TNFRSF12A/CDH5/GPNMB/TGFB1/SHC1/DCN/GREM1/ANXA3/RGCC/APLNR/FGF18/PRKCB/KDR/FOXC2/C3AR1/KLF2/ZC3H12A/SMOC2/PLK2",69
"GO:0007507","heart development","82/984","411/15777",0.199513381995134,3.19890510948905,11.649703021992,1.71830125950357e-21,1.28245711523363e-18,1.28245711523363e-18,"TPM1/MMP2/TGFB3/GATA4/PAX8/RGS4/BMP5/SHH/MYOCD/ALPK2/NRP1/STRA6/PDGFRB/INHBA/CASP8/TBX1/TGFB2/ECE1/SNAI2/ANKRD1/SMAD7/VCAM1/SEMA3C/FGF12/SGCD/EGFR/DLC1/ENG/MEF2C/DSP/MICAL2/SIK1/POU4F2/MSC/RYR2/MIR21/ACVRL1/EDNRA/MSX1/MSX2/GLI1/POU4F1/TGFBR2/TBX3/PDLIM3/CDH11/NFATC1/RUNX1/GATA3/TBX2/GJA1/PDGFRA/FOXC1/EDN1/COL3A1/IRX4/TWIST1/PLXND1/PCSK5/BMP4/HAS2/OSR1/NPY5R/MIR145/PITX2/TGFB1/CRIPTO/FN1/FBN1/PROX1/CARMN/TBX18/HEY2/GREM1/APLNR/PRICKLE1/FOXL1/KDR/FOXC2/NPY1R/WNT11/PDLIM1",82
"GO:0048729","tissue morphogenesis","75/984","353/15777",0.212464589235127,3.40655876459614,11.7937844140259,1.96695876569576e-21,1.28245711523363e-18,1.28245711523363e-18,"TPM1/MMP2/GATA4/FOXD1/PAX8/BMP5/SHH/RHBDF2/NRP1/SEMA3E/ITGAV/FGF1/TBX1/STAT1/SIX2/TGFB2/SNAI2/ANKRD1/SMAD7/KLF4/GDNF/HGF/DLC1/ENG/MEF2C/DSP/MET/MICAL2/KIF26B/WNT10A/RYR2/MIR21/ACVRL1/EDNRA/ADAMTS12/NKX2-1/TNC/POU4F1/STC1/TGFBR2/SULF1/TBX3/GATA3/TBX2/GJA1/FOXC1/SIX1/COL3A1/GRHL3/ITGA5/PKHD1/ACTG2/ACTA2/KRT17/TCF21/CD44/BMP4/OSR1/ITGB1/MIR145/VCL/FERMT1/TGFB1/PROX1/TBX18/HEY2/PAX2/GREM1/APLNR/PRICKLE1/KDR/PDGFA/COL4A1/EYA1/WNT11",75
"GO:0048598","embryonic morphogenesis","69/984","317/15777",0.217665615141956,3.48994960375471,11.5500353340128,2.06343545083666e-20,1.04639104417983e-17,1.04639104417984e-17,"FOXF2/MMP2/RARG/GATA4/ITGA4/FZD5/PAX8/BMP5/SHH/COL12A1/MMP9/STRA6/INHBA/ITGAV/TBX1/SIX2/OSR2/TGFB2/ECE1/KLF4/GDNF/DLC1/ENG/MEF2C/MICAL2/MYO3B/SPARC/RYR2/LAMB1/EDNRA/MSX1/MSX2/TGFBR2/SULF1/IGF2/TBX3/MMP14/FLT1/GATA3/TBX2/GJA1/PDGFRA/FOXC1/SIX1/GRHL3/MFAP5/ITGA5/TWIST1/SP9/TCF21/BMP4/OSR1/ITGB1/MIR145/TGFB1/FN1/FBN1/LAMB3/PROX1/HOXB4/TBX18/ALDH1A3/PAX2/GREM1/APLNR/PRICKLE1/EYA1/HOXB3/COL8A1",69
"GO:0030855","epithelial cell differentiation","79/984","435/15777",0.181609195402299,2.91183767872162,10.4285163205174,3.55768577777134e-18,1.47611617179531e-15,1.47611617179531e-15,"KRT80/GATA4/PAX8/BMP5/PCK1/RHBDF2/MMP9/NRP1/SPINK5/PLCB1/PRKCH/TBX1/STAT1/SIX2/TGFB2/F2RL1/DACT2/NPY/CAV1/S1PR3/GDNF/CDH3/MEF2C/DSP/MET/CLDN1/PPARG/DAB2/MIR21/ACVRL1/EDNRA/MSX1/GLI1/IQGAP1/STC1/IRF6/ZNF703/GATA3/KRT79/FOXC1/VDR/SIX1/EDN1/PKHD1/POU2F3/KRT7/MAFB/ACTA2/KRT17/ESRP1/FOXB1/FSTL1/ADAM9/SERPINE1/TCF21/TCHH/WFDC2/BMP4/OSR1/FLG/CDH5/VCL/PITX2/SFRP4/TAGLN2/TGFB1/FBN1/GDF3/PROX1/HEY2/PAX2/GREM1/TAGLN/LGALS3/KDR/ICAM1/COL4A1/ANXA1/WNT11",79
"GO:0006935","chemotaxis","69/984","356/15777",0.193820224719101,3.10762366401754,10.3736040143883,1.53431806084146e-17,5.38663663821573e-15,5.38663663821573e-15,"PLD1/CXCL14/MMP2/KLRC4-KLRK1/CXCL8/NRP1/SEMA3E/S100A4/PDGFRB/CXCL11/ITGAV/FGF1/NTF3/TGFB2/F2RL1/VCAM1/SEMA3C/PLAUR/GDNF/HGF/ENG/ECSCR/F3/ADGRA2/MET/POU4F2/LGR6/CXCL6/CDH13/TNFAIP6/PGF/CD4/FLT1/CXCL12/CXCL5/PLAU/IL6R/PDGFRA/IL16/CCL2/EDN1/ANGPT1/CSF1/SERPINE1/ITGA1/TMSB4X/CCR1/BMP4/KLRK1/ADGRE2/GPNMB/TGFB1/UNC5C/GREM1/PLP2/CXCL1/CMKLR1/EDN3/SLAMF8/FGF18/LGALS3/KDR/PDGFA/BST1/C3AR1/ANXA1/FOSL1/RAC2/SMOC2",69
"GO:0002521","leukocyte differentiation","78/984","449/15777",0.173719376391982,2.78533597696779,9.89847409237788,8.25984700614911e-17,2.21752598447439e-14,2.21752598447439e-14,"PRKCA/ITGA4/TLR3/SHH/PTGER4/PCK1/DOCK10/IFI16/MMP9/SPINK5/RUNX3/KCNK18/LYL1/INHBA/CASP8/HLA-B/CCN4/F2RL1/IL2RB/SMAD7/UBD/VCAM1/IRF1/SOCS3/SMARCA2/IKZF1/TLR4/TNFSF4/KISS1/FOS/RRAS/PPARG/GPR65/POU4F2/JAK3/MIR21/NR3C1/LRRC17/POU4F1/KLRC1/TGFBR2/IL13RA1/TNFAIP6/MMP14/CD4/LGALS1/RUNX1/GATA3/IL6R/IL18R1/UBASH3B/IL15/IL4R/MAFB/ANXA2/STAT3/CSF1/IL33/PSMB8/IL1RAP/CCR1/BMP4/ICOSLG/ITGB1/MIR145/TGFB1/PRDM1/FBN1/PSMB9/DCSTAMP/IL7R/SOCS1/IL31RA/SLAMF8/ANXA1/ZC3H12A/JUNB/SLC25A5",78
"GO:0002683","negative regulation of immune system process","75/984","423/15777",0.177304964539007,2.84282563570317,9.90858250808815,1.04698396259446e-16,2.65468600293396e-14,2.65468600293396e-14,"DHX58/GBP1/TGFB3/ISG15/PDCD1LG2/BMP5/TLR3/BANK1/PTGER4/KLRC4-KLRK1/CD274/RHBDF2/BST2/IFI16/SPINK5/RUNX3/PLCB1/FURIN/INHBA/HLA-B/TGFB2/F2RL1/HMOX1/SMAD7/NPY/IRF1/TNFRSF21/OAS3/TLR4/TNFSF4/KISS1/PPARG/NLRC5/JAK3/MIR21/NLRP6/LRRC17/KLRC1/TLR6/TNFAIP6/LGALS1/RUNX1/CXCL12/OAS1/IRGM/PARP14/CCL2/COL3A1/MAFB/IL33/A2M/PSMB8/BMP4/KLRK1/NPY5R/AHR/NMI/BPI/GPNMB/TGFB1/FN1/FBN1/PSMB9/UBASH3A/SOCS1/GREM1/IL31RA/SLAMF8/LGALS3/HLA-E/ANXA1/ZC3H12A/RAB7B/PRNP/PLK2",75
"GO:0050673","epithelial cell proliferation","59/984","289/15777",0.204152249134948,3.27328255548991,10.0594107102135,3.03312536354222e-16,6.70560237246443e-14,6.70560237246443e-14,"CNMD/PRKCA/ITGA4/BMP5/NRP1/GDF5/RUNX3/JCAD/LAMC1/TBX1/STAT1/B2M/OSR2/TGFB2/HMOX1/SNAI2/CAV1/EGFR/ENG/CDH3/MEF2C/TNMD/F3/CLDN1/SPARC/PPARG/DAB2/LAMB1/MIR21/ACVRL1/CDKN2B/CDH13/SULF1/CAV2/MMP14/ZNF703/FLT1/CXCL12/GATA3/TBX2/ECM1/CCL2/VDR/SIX1/PKHD1/STAT3/BMP4/FAP/HAS2/OSR1/FERMT1/TGFB1/PROX1/KLF9/LOXL2/PAX2/RGCC/APLNR/KDR",59
"GO:0043542","endothelial cell migration","52/984","232/15777",0.224137931034483,3.59372371740959,10.2645570287766,3.08539986463087e-16,6.70560237246443e-14,6.70560237246443e-14,"TGFB1I1/SRPX2/PRKCA/NRP1/MEOX2/JCAD/FGF1/HMOX1/KLF4/MEF2C/ADGRA2/MET/SPARC/RRAS/PPARG/SP100/MIR21/ACVRL1/CD40/RHOJ/ETS1/CDH13/STC1/S100A2/GATA3/EHD4/EDN1/SERPINF1/FSTL1/PLXND1/CYP1B1/ANGPT1/TBXA2R/TMSB4X/FAP/CDH5/TGFB1/CRIPTO/FN1/DCN/PROX1/LOXL2/GREM1/ANXA3/RGCC/FGF18/KDR/FOXC2/ANXA1/ZC3H12A/SMOC2/PLK2",52
"GO:0050865","regulation of cell activation","80/984","480/15777",0.166666666666667,2.67225609756098,9.59595367968478,3.82329815713511e-16,7.93160581325666e-14,7.93160581325665e-14,"SH3KBP1/PRKCA/PDCD1LG2/EMILIN2/BANK1/SHH/KLRC4-KLRK1/CD274/PCK1/CD9/SPINK5/RUNX3/KCNK18/INHBA/B2M/SMAD7/CAV1/VCAM1/IRF1/TNFRSF21/SMARCA2/TLR4/TNFSF4/MEF2C/CYGB/GPR65/JAK3/MIR21/KLRC1/TGFBR2/IGF2/NFATC2/SIRPG/TLR6/MMP14/CUL4B/CD4/LGALS1/RUNX1/GATA3/IL6R/IRGM/PDGFRA/IL16/CCL2/C1QTNF1/IL15/IL4R/ACTA2/KLRC2/KLRC3/IL33/PSMB8/BMP4/KLRK1/ICOSLG/MIR145/AHR/BPI/GPNMB/TGFB1/DDR2/PRDM1/THBD/FN1/PSMB9/IL7R/SOCS1/PEAR1/IL31RA/ZP4/SLAMF8/LGALS3/PDGFA/HLA-E/ANXA1/ZC3H12A/RAC2/JUNB/PRNP",80
